Change Component Footprint: Designator=C3 Old Footprint=CM D(6.3*7.7) New Footprint=CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD
Change Component Comment : Designator=U2 Old Comment=CH340N_C2977777 New Comment=CH340N
Change Component Comment : Designator=U3 Old Comment=MAX232D_C5342103 New Comment=MAX232D
Change component parameters: Designator = "CN"; Footprint = "CONN-TH_XT60PW-M"; UniqueID = "\HYQLKUWO"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20180125/C98732_15168617837851301983.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "XT60PW-M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "AMASS(艾迈斯)航模插头xt90连接器150公母对接pw锂电池公头 板插卧式XT60PW-M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "AMASS(艾迈斯)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "XT60PW-M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "XT60PW-M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C98732"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "XT60PW-M"; VariantName = "[No Variations]"
Change component parameters: Designator = "C3"; Footprint = "CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD"; UniqueID = "\WWHAKWIE"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20211118/497C0614266278696CA52BDF245B991F.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "RVT1E221M0607"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Equivalent Series Resistance(ESR)"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "L"; Value = "7.7mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "220uF ±20% 25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifetime @ Temp"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ROQANG(容强)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "RVT1E221M0607"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "220uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-40℃~+105℃"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ripple Current"; Value = "150mA@120Hz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "SMD,D6.3xL7.7mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C2918361"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "RVT1E221M0607_C2918361"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "220uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "φD"; Value = "6.3mm"; VariantName = "[No Variations]"
Added Room: Name=Sheet
